id,category,level,cefr,answer,sentence_en,sentence_ko,meaning,tts_text,display_sentence,frequency,chunk_type,difficulty_axis,use_case
27,greeting,1,A1-A2,weather,The ___ is really nice today.,오늘 날씨가 정말 좋네요.,날씨,The weather is really nice today.,The weather is really nice today.,high,single_word,spelling,"{""smalltalk"",""greeting""}"
28,greeting,1,A1-A2,work,How's ___ going?,일은 어떻게 돼 가요?,"일, 직장",How's work going?,How's work going?,high,single_word,usage,"{""smalltalk"",""workplace""}"
29,greeting,1,A1-A2,soon,Talk to you ___.,곧 또 얘기해요.,곧,Talk to you soon.,Talk to you soon.,high,single_word,usage,"{""farewell"",""greeting""}"
30,greeting,1,A1-A2,holiday,Did you enjoy the ___?,휴가 즐겁게 보냈어요?,"휴일, 휴가",Did you enjoy the holiday?,Did you enjoy the holiday?,high,single_word,spelling,"{""smalltalk"",""greeting""}"
31,greeting,1,A1-A2,afternoon,"Good ___, everyone.",모두들 좋은 오후예요.,오후,"Good afternoon, everyone.","Good afternoon, everyone.",high,single_word,spelling,"{""greeting"",""workplace""}"
32,greeting,1,A1-A2,evening,"Good ___, how was your day?","안녕하세요, 하루 어떠셨어요?",저녁,"Good evening, how was your day?","Good evening, how was your day?",high,single_word,spelling,"{""greeting"",""smalltalk""}"
33,greeting,1,A1-A2,back,Welcome ___ from your trip.,여행에서 돌아온 걸 환영해요.,돌아온,Welcome back from your trip.,Welcome back from your trip.,high,single_word,usage,"{""greeting"",""reunion""}"
34,greeting,1,A1-A2,glad,I'm ___ you're here.,와 주셔서 기뻐요.,기쁜,I'm glad you're here.,I'm glad you're here.,high,single_word,usage,"{""greeting"",""smalltalk""}"
35,greeting,1,A1-A2,remember,Do you ___ me?,저 기억하세요?,기억하다,Do you remember me?,Do you remember me?,high,single_word,spelling,"{""reunion"",""greeting""}"
36,greeting,1,A1-A2,missed,I've ___ you so much.,많이 보고 싶었어요.,그리워하다(과거),I've missed you so much.,I've missed you so much.,high,single_word,usage,"{""reunion"",""greeting""}"
37,greeting,1,A1-A2,well,I hope you're doing ___.,잘 지내고 계시길 바라요.,잘,I hope you're doing well.,I hope you're doing well.,high,single_word,usage,"{""greeting"",""smalltalk""}"
38,greeting,1,A1-A2,together,It's great to be ___ again.,다시 함께해서 좋아요.,함께,It's great to be together again.,It's great to be together again.,high,single_word,spelling,"{""reunion"",""greeting""}"
39,greeting,1,A1-A2,today,How are you feeling ___?,오늘 기분이 어때요?,오늘,How are you feeling today?,How are you feeling today?,high,single_word,usage,"{""greeting"",""smalltalk""}"
40,greeting,1,A1-A2,been,How have you ___?,어떻게 지내셨어요?,지내다(과거),How have you been?,How have you been?,high,single_word,usage,"{""greeting"",""reunion""}"
41,greeting,1,A1-A2,mind,Do you ___ if I sit here?,여기 앉아도 될까요?,꺼리다,Do you mind if I sit here?,Do you mind if I sit here?,high,single_word,usage,"{""smalltalk"",""greeting""}"
42,greeting,1,A1-A2,pardon,I beg your ___?,죄송한데 다시 말씀해 주시겠어요?,"실례합니다, 다시 말해 주세요",I beg your pardon?,I beg your pardon?,high,single_word,spelling,"{""greeting"",""smalltalk""}"
43,greeting,1,A1-A2,family,How's the ___?,가족들은 어때요?,가족,How's the family?,How's the family?,high,single_word,spelling,"{""smalltalk"",""greeting""}"
44,greeting,1,A1-A2,colleague,Let me introduce my ___.,제 동료를 소개할게요.,동료,Let me introduce my colleague.,Let me introduce my colleague.,high,single_word,spelling,"{""introduction"",""workplace""}"
45,greeting,1,A1-A2,first,Is this your ___ time here?,여기 처음 오셨어요?,처음,Is this your first time here?,Is this your first time here?,high,single_word,usage,"{""smalltalk"",""introduction""}"
46,greeting,1,A1-A2,while,It's been a ___.,오랜만이에요.,한동안,It's been a while.,It's been a while.,high,single_word,usage,"{""reunion"",""greeting""}"
47,greeting,1,A1-A2,wonderful,It's ___ to see you.,뵙게 되어 정말 좋아요.,"훌륭한, 멋진",It's wonderful to see you.,It's wonderful to see you.,high,single_word,spelling,"{""greeting"",""reunion""}"
48,greeting,1,A1-A2,free,Are you ___ this weekend?,이번 주말에 시간 있어요?,"한가한, 자유로운",Are you free this weekend?,Are you free this weekend?,high,single_word,usage,"{""smalltalk"",""greeting""}"
49,greeting,1,A1-A2,hungry,Are you ___? Let's grab something.,배고프세요? 뭐라도 먹어요.,배고픈,Are you hungry? Let's grab something.,Are you hungry? Let's grab something.,high,single_word,spelling,"{""smalltalk"",""greeting""}"
50,greeting,1,A1-A2,take,Please ___ a seat.,앉으세요.,"잡다, 앉다",Please take a seat.,Please take a seat.,high,single_word,usage,"{""greeting"",""workplace""}"
51,greeting,1,A1-A2,right,I'll be ___ back.,금방 돌아올게요.,바로,I'll be right back.,I'll be right back.,high,single_word,usage,"{""greeting"",""smalltalk""}"
52,greeting,1,A1-A2,everything,Is ___ okay?,다 괜찮아요?,모든 것,Is everything okay?,Is everything okay?,high,single_word,spelling,"{""greeting"",""smalltalk""}"
53,greeting,1,A1-A2,last,When did we ___ see each other?,우리가 마지막으로 만난 게 언제였죠?,마지막으로,When did we last see each other?,When did we last see each other?,high,single_word,usage,"{""reunion"",""greeting""}"
54,greeting,1,A1-A2,smile,You have such a warm ___.,참 따뜻한 미소를 갖고 계시네요.,미소,You have such a warm smile.,You have such a warm smile.,mid,single_word,spelling,"{""smalltalk"",""greeting""}"
55,greeting,1,A1-A2,lucky,I'm ___ to be working with you.,함께 일하게 되어 운이 좋아요.,운이 좋은,I'm lucky to be working with you.,I'm lucky to be working with you.,mid,single_word,spelling,"{""introduction"",""workplace""}"
56,greeting,1,A1-A2,around,We should hang ___ sometime.,언제 한번 같이 놀아요.,"근처에, 함께",We should hang around sometime.,We should hang around sometime.,high,single_word,usage,"{""social"",""greeting""}"
57,greeting,1,A1-A2,time,"Next ___, let's grab coffee.",다음에 커피 마셔요.,"시간, 번","Next time, let's grab coffee.","Next time, let's grab coffee.",high,single_word,usage,"{""farewell"",""greeting""}"
58,greeting,1,A1-A2,great,"I'm doing ___, thanks.","아주 잘 지내요, 고마워요.",아주 좋은,"I'm doing great, thanks.","I'm doing great, thanks.",high,single_word,meaning,"{""greeting""}"
59,greeting,1,A1-A2,greet,Let's ___ our guests.,손님들을 맞이합시다.,"맞이하다, 인사하다",Let's greet our guests.,Let's greet our guests.,mid,single_word,meaning,"{""greeting""}"
60,greeting,1,A1-A2,wave,She gave a friendly ___.,그녀는 친근하게 손을 흔들었어요.,손 흔들기,She gave a friendly wave.,She gave a friendly wave.,mid,single_word,meaning,"{""greeting""}"
61,greeting,1,A1-A2,chat,Let's have a quick ___.,잠깐 얘기 좀 해요.,"가벼운 대화, 수다",Let's have a quick chat.,Let's have a quick chat.,high,single_word,meaning,"{""small talk""}"
62,greeting,1,A1-A2,neighbor,He's my new ___.,그는 제 새 이웃이에요.,이웃,He's my new neighbor.,He's my new neighbor.,high,single_word,spelling,"{""social""}"
63,greeting,1,A1-A2,guest,You're our special ___.,당신은 우리의 특별한 손님이에요.,손님,You're our special guest.,You're our special guest.,high,single_word,spelling,"{""social""}"
64,greeting,1,A1-A2,stay,Please ___ a little longer.,조금만 더 있다 가세요.,머무르다,Please stay a little longer.,Please stay a little longer.,high,single_word,meaning,"{""social""}"
65,greeting,1,A1-A2,visit,Come ___ us sometime.,언제 한번 놀러 오세요.,방문하다,Come visit us sometime.,Come visit us sometime.,high,single_word,usage,"{""social""}"
66,greeting,1,A1-A2,Hi,"___, how are you?","안녕, 잘 지내?",안녕 (가벼운 인사),"Hi, how are you?","Hi, how are you?",high,single_word,spelling,"{""greeting""}"
67,greeting,1,A1-A2,Hello,"___, nice to see you.","안녕하세요, 만나서 반가워요.",안녕하세요,"Hello, nice to see you.","Hello, nice to see you.",high,single_word,spelling,"{""greeting""}"
68,greeting,1,A1-A2,Hey,"___, long time no see!","어이, 오랜만이야!","이봐, 안녕 (친근한 인사)","Hey, long time no see!","Hey, long time no see!",high,single_word,usage,"{""greeting""}"
69,greeting,1,A1-A2,Thanks,___ for coming today.,오늘 와 줘서 고마워요.,고마워요,Thanks for coming today.,Thanks for coming today.,high,single_word,spelling,"{""greeting""}"
70,greeting,1,A1-A2,Welcome,___ to our home.,저희 집에 오신 걸 환영해요.,환영합니다,Welcome to our home.,Welcome to our home.,high,single_word,spelling,"{""greeting""}"
71,greeting,2,B1,catch up,Let's ___ over coffee sometime.,언제 커피 마시면서 얘기 좀 해요.,근황을 나누다,Let's catch up over coffee sometime.,Let's catch up over coffee sometime.,high,phrasal_verb,usage,"{""reunion"",""smalltalk""}"
72,greeting,2,B1,been up to,What have you ___ lately?,요즘 뭐 하고 지냈어요?,~하며 지내다,What have you been up to lately?,What have you been up to lately?,high,phrasal_verb,usage,"{""greeting"",""smalltalk""}"
73,greeting,2,B1,small talk,I'm not great at ___ with strangers.,전 낯선 사람과 잡담하는 걸 잘 못해요.,잡담,I'm not great at small talk with strangers.,I'm not great at small talk with strangers.,high,collocation,meaning,"{""smalltalk"",""social""}"
74,greeting,2,B1,run into,I happened to ___ an old friend yesterday.,어제 우연히 옛 친구를 마주쳤어요.,우연히 마주치다,I happened to run into an old friend yesterday.,I happened to run into an old friend yesterday.,high,phrasal_verb,usage,"{""reunion"",""greeting""}"
75,greeting,2,B1,keep in touch,Let's ___ after the trip.,여행 끝나고도 연락하고 지내요.,연락하고 지내다,Let's keep in touch after the trip.,Let's keep in touch after the trip.,high,phrasal_verb,usage,"{""farewell"",""social""}"
76,greeting,2,B1,How come,___ you didn't call me back?,왜 답신 전화를 안 했어요?,"왜, 어째서",How come you didn't call me back?,How come you didn't call me back?,high,sentence_frame,usage,"{""greeting"",""smalltalk""}"
77,greeting,2,B1,get to know,I'd love to ___ you better.,당신을 더 잘 알고 싶어요.,알아가다,I'd love to get to know you better.,I'd love to get to know you better.,high,phrasal_verb,usage,"{""introduction"",""social""}"
78,greeting,2,B1,showing up,Thanks for ___ on such short notice.,급한데도 와 줘서 고마워요.,"나타나다, 오다",Thanks for showing up on such short notice.,Thanks for showing up on such short notice.,high,phrasal_verb,usage,"{""greeting"",""workplace""}"
79,greeting,2,B1,drop by,Feel free to ___ whenever you're nearby.,근처 오면 언제든 들르세요.,잠깐 들르다,Feel free to drop by whenever you're nearby.,Feel free to drop by whenever you're nearby.,high,phrasal_verb,usage,"{""greeting"",""social""}"
80,greeting,2,B1,look forward to,I ___ meeting you in person.,직접 만나 뵙기를 고대하고 있어요.,고대하다,I look forward to meeting you in person.,I look forward to meeting you in person.,high,phrasal_verb,usage,"{""introduction"",""greeting""}"
81,greeting,2,B1,stop by,Why don't you ___ for a coffee?,커피 한잔하러 들르지 그래요?,잠깐 들르다,Why don't you stop by for a coffee?,Why don't you stop by for a coffee?,high,phrasal_verb,usage,"{""greeting"",""social""}"
82,greeting,2,B1,settled in,Have you ___ to the new city yet?,새 도시에 적응했어요?,적응하다,Have you settled in to the new city yet?,Have you settled in to the new city yet?,high,phrasal_verb,usage,"{""greeting"",""smalltalk""}"
83,greeting,2,B1,how's it going,"Hey, ___ with the new job?",새 직장은 어때요?,어떻게 지내요,"Hey, how's it going with the new job?","Hey, how's it going with the new job?",high,sentence_frame,usage,"{""greeting"",""workplace""}"
84,greeting,2,B1,make it,I'm glad you could ___ today.,오늘 와 주셔서 기뻐요.,"올 수 있다, 해내다",I'm glad you could make it today.,I'm glad you could make it today.,high,phrasal_verb,usage,"{""greeting"",""social""}"
85,greeting,2,B1,good to see,It's ___ you again.,다시 만나서 반가워요.,만나서 반가운,It's good to see you again.,It's good to see you again.,high,collocation,usage,"{""greeting"",""reunion""}"
86,greeting,2,B1,a long time,I haven't seen you in ___.,오랫동안 못 봤네요.,오랜 시간,I haven't seen you in a long time.,I haven't seen you in a long time.,high,collocation,usage,"{""reunion"",""greeting""}"
87,greeting,2,B1,getting along,How are you ___ with the team?,팀이랑은 잘 지내요?,잘 지내다,How are you getting along with the team?,How are you getting along with the team?,high,phrasal_verb,usage,"{""workplace"",""smalltalk""}"
88,greeting,2,B1,touch base,Let's ___ before the meeting.,회의 전에 잠깐 얘기해요.,간단히 연락하다,Let's touch base before the meeting.,Let's touch base before the meeting.,high,collocation,usage,"{""workplace"",""greeting""}"
89,greeting,2,B1,up for,Are you ___ grabbing lunch?,점심 먹을 생각 있어요?,~할 마음이 있는,Are you up for grabbing lunch?,Are you up for grabbing lunch?,high,collocation,usage,"{""smalltalk"",""social""}"
90,greeting,2,B1,on my way,"I'm ___, see you soon.","가는 중이에요, 곧 봐요.",가는 중인,"I'm on my way, see you soon.","I'm on my way, see you soon.",high,collocation,usage,"{""greeting"",""social""}"
91,greeting,2,B1,checking in,Just ___ to see how you're doing.,그냥 어떻게 지내시나 확인하러요.,안부 확인하다,Just checking in to see how you're doing.,Just checking in to see how you're doing.,high,phrasal_verb,usage,"{""greeting"",""social""}"
92,greeting,2,B1,fit in,Are you starting to ___ with the group?,그룹에 어울리기 시작했어요?,"어울리다, 적응하다",Are you starting to fit in with the group?,Are you starting to fit in with the group?,mid,phrasal_verb,usage,"{""social"",""introduction""}"
93,greeting,2,B1,reach out,Don't hesitate to ___ anytime.,언제든 연락 주저하지 마세요.,연락하다,Don't hesitate to reach out anytime.,Don't hesitate to reach out anytime.,high,phrasal_verb,usage,"{""farewell"",""social""}"
94,greeting,2,B1,get together,We should ___ more often.,더 자주 만나야 해요.,"모이다, 만나다",We should get together more often.,We should get together more often.,high,phrasal_verb,usage,"{""social"",""reunion""}"
95,greeting,2,B1,nice to finally,It's ___ meet you in person.,드디어 직접 만나게 되어 반가워요.,드디어 만나서 반가운,It's nice to finally meet you in person.,It's nice to finally meet you in person.,high,collocation,usage,"{""introduction"",""greeting""}"
96,greeting,2,B1,on your end,How are things ___?,그쪽은 어떻게 지내요?,당신 쪽에서는,How are things on your end?,How are things on your end?,high,collocation,usage,"{""smalltalk"",""greeting""}"
97,greeting,2,B1,give my regards,Please ___ to your family.,가족분들께 안부 전해 주세요.,안부를 전하다,Please give my regards to your family.,Please give my regards to your family.,mid,collocation,usage,"{""farewell"",""social""}"
98,greeting,2,B1,pleased to meet,I'm ___ you.,만나 뵙게 되어 기쁩니다.,만나서 기쁜,I'm pleased to meet you.,I'm pleased to meet you.,high,collocation,usage,"{""introduction"",""greeting""}"
99,greeting,2,B1,heard so much about,I've ___ you.,말씀 많이 들었어요.,~에 대해 많이 듣다,I've heard so much about you.,I've heard so much about you.,high,collocation,usage,"{""introduction"",""social""}"
100,greeting,2,B1,been meaning to,I've ___ call you.,전화하려고 했었어요.,~하려고 했었다,I've been meaning to call you.,I've been meaning to call you.,mid,collocation,usage,"{""greeting"",""reunion""}"
101,greeting,2,B1,going on,What's ___ with you these days?,요즘 어떻게 지내세요?,"일어나다, 진행되다",What's going on with you these days?,What's going on with you these days?,high,phrasal_verb,usage,"{""greeting"",""smalltalk""}"
102,greeting,2,B1,in ages,We haven't spoken ___.,정말 오랫동안 얘기를 못 했네요.,아주 오랫동안,We haven't spoken in ages.,We haven't spoken in ages.,high,collocation,usage,"{""reunion"",""greeting""}"
103,greeting,2,B1,stick around,Can you ___ for a bit?,잠깐만 더 있어 줄 수 있어요?,잠시 머물다,Can you stick around for a bit?,Can you stick around for a bit?,mid,phrasal_verb,usage,"{""social"",""greeting""}"
104,greeting,2,B1,cross paths,I hope we ___ again soon.,다시 만나게 되기를 바라요.,"마주치다, 우연히 만나다",I hope we cross paths again soon.,I hope we cross paths again soon.,mid,collocation,usage,"{""farewell"",""reunion""}"
105,greeting,2,B1,in good hands,"Don't worry, you're ___.","걱정 마세요, 잘 돌봐 드릴게요.",잘 보살펴지는,"Don't worry, you're in good hands.","Don't worry, you're in good hands.",mid,idiom,meaning,"{""greeting"",""workplace""}"
106,greeting,2,B1,show you around,Let me ___ the office.,사무실 구경시켜 드릴게요.,"안내하다, 구경시켜 주다",Let me show you around the office.,Let me show you around the office.,mid,phrasal_verb,usage,"{""introduction"",""workplace""}"
107,greeting,2,B1,familiar with,Are you ___ this area?,이 지역 잘 아세요?,~에 익숙한,Are you familiar with this area?,Are you familiar with this area?,high,collocation,usage,"{""smalltalk"",""greeting""}"
108,greeting,2,B1,talk you through,Let me ___ the process.,과정을 하나씩 설명해 드릴게요.,하나씩 설명해 주다,Let me talk you through the process.,Let me talk you through the process.,mid,phrasal_verb,usage,"{""workplace"",""introduction""}"
109,greeting,2,B1,looking good,"Hey, you're ___!","이야, 좋아 보이는데요!","잘 지내 보이다, 좋아 보이다","Hey, you're looking good!","Hey, you're looking good!",high,collocation,usage,"{""greeting"",""smalltalk""}"
110,greeting,2,B1,no stranger to,He's ___ public speaking.,그는 발표에 익숙한 사람이에요.,~에 익숙하다,He's no stranger to public speaking.,He's no stranger to public speaking.,mid,collocation,meaning,"{""introduction"",""workplace""}"
111,greeting,2,B1,nice to meet you,It's ___.,만나서 반갑습니다.,만나서 반가워요,It's nice to meet you.,It's nice to meet you.,high,sentence_frame,usage,"{""greeting""}"
112,greeting,2,B1,how are you doing,"Hey, ___ these days?","안녕, 요즘 어떻게 지내?",어떻게 지내요,"Hey, how are you doing these days?","Hey, how are you doing these days?",high,sentence_frame,usage,"{""greeting""}"
113,greeting,2,B1,what's new,"Hey, ___ with you?","안녕, 뭐 새로운 일 있어?","별일 있어?, 새 소식 있어?","Hey, what's new with you?","Hey, what's new with you?",high,sentence_frame,usage,"{""small talk""}"
114,greeting,2,B1,how's everything,"Hi, ___ going?","안녕, 다 잘 돼 가요?",다 잘 지내요?,"Hi, how's everything going?","Hi, how's everything going?",high,sentence_frame,usage,"{""small talk""}"
115,greeting,2,B1,see you soon,"Bye for now, ___.","이만 안녕, 곧 봐요.",곧 봐요,"Bye for now, see you soon.","Bye for now, see you soon.",high,collocation,usage,"{""farewell""}"
116,greeting,2,B1,see you around,"Alright, ___!","그래, 또 봐요!",또 봐요,"Alright, see you around!","Alright, see you around!",high,collocation,usage,"{""farewell""}"
117,greeting,2,B1,catch you later,"Gotta run, ___.","가 봐야 해, 나중에 봐.",나중에 봐요,"Gotta run, catch you later.","Gotta run, catch you later.",high,idiom,meaning,"{""farewell""}"
118,greeting,2,B1,say hello to,Please ___ your family.,가족분들께 안부 전해 주세요.,~에게 안부를 전하다,Please say hello to your family.,Please say hello to your family.,high,collocation,usage,"{""farewell""}"
119,greeting,2,B1,pass along my regards,Please ___ to her.,그녀에게 제 안부 좀 전해 주세요.,안부를 전하다,Please pass along my regards to her.,Please pass along my regards to her.,mid,collocation,usage,"{""farewell""}"
120,greeting,2,B1,lovely to see you,It's ___ again.,다시 만나서 정말 반가워요.,만나서 정말 반가워요,It's lovely to see you again.,It's lovely to see you again.,mid,sentence_frame,usage,"{""greeting""}"
121,greeting,2,B1,been a minute,"Wow, it's ___.","와, 진짜 오랜만이다.",꽤 오랜만이다,"Wow, it's been a minute.","Wow, it's been a minute.",mid,idiom,meaning,"{""greeting""}"
122,greeting,2,B1,how have you been,"It's been a while, ___?","오랜만이에요, 그동안 어떻게 지냈어요?",그동안 어떻게 지냈어요,"It's been a while, how have you been?","It's been a while, how have you been?",high,sentence_frame,usage,"{""greeting""}"
123,greeting,2,B1,how's your day,"Hi there, ___ going?","안녕하세요, 오늘 하루 어때요?",오늘 하루 어때요,"Hi there, how's your day going?","Hi there, how's your day going?",high,sentence_frame,usage,"{""small talk""}"
124,greeting,2,B1,what brings you here,"Oh hi, ___ today?","어머 안녕, 오늘 여긴 어쩐 일이에요?",여긴 어쩐 일이에요,"Oh hi, what brings you here today?","Oh hi, what brings you here today?",mid,sentence_frame,usage,"{""small talk""}"
125,greeting,2,B1,have we met,"Sorry, ___ before?","죄송한데, 저희 전에 만난 적 있나요?",저희 만난 적 있나요,"Sorry, have we met before?","Sorry, have we met before?",mid,sentence_frame,usage,"{""small talk""}"
126,greeting,2,B1,nice to see you again,"Oh, ___!","어, 다시 만나서 반가워요!",다시 만나서 반가워요,"Oh, nice to see you again!","Oh, nice to see you again!",high,sentence_frame,usage,"{""greeting""}"
127,greeting,2,B1,say goodbye,I came to ___.,작별 인사를 하러 왔어요.,작별 인사를 하다,I came to say goodbye.,I came to say goodbye.,high,collocation,usage,"{""farewell""}"
128,greeting,2,B1,wave goodbye,The kids ___ at the door.,아이들이 문에서 손을 흔들며 작별 인사를 했어요.,손 흔들어 작별하다,The kids wave goodbye at the door.,The kids wave goodbye at the door.,mid,collocation,usage,"{""farewell""}"
129,greeting,2,B1,strike up a chat,We began to ___.,우리는 대화를 트기 시작했어요.,대화를 트다,We began to strike up a chat.,We began to strike up a chat.,mid,collocation,meaning,"{""small talk""}"
130,greeting,2,B1,make conversation,He tried to ___.,그는 말을 붙여 보려 했어요.,"대화를 나누다, 말을 붙이다",He tried to make conversation.,He tried to make conversation.,mid,collocation,usage,"{""small talk""}"
131,greeting,2,B1,introduce yourself,Feel free to ___.,편하게 자기소개를 하세요.,자기소개를 하다,Feel free to introduce yourself.,Feel free to introduce yourself.,high,collocation,usage,"{""greeting""}"
132,greeting,2,B1,shake hands,They paused to ___.,그들은 멈춰 서서 악수를 했어요.,악수하다,They paused to shake hands.,They paused to shake hands.,high,collocation,usage,"{""greeting""}"
133,greeting,2,B1,wish you well,We just want to ___.,우리는 그저 잘되길 바랄 뿐이에요.,잘되길 빌다,We just want to wish you well.,We just want to wish you well.,mid,collocation,usage,"{""farewell""}"
134,greeting,2,B1,get acquainted,Let's take time to ___.,서로 알아 갈 시간을 가져요.,서로 알게 되다,Let's take time to get acquainted.,Let's take time to get acquainted.,mid,collocation,meaning,"{""social""}"
135,greeting,2,B1,lose touch,Let's not ___ again.,다시는 연락 끊기지 말아요.,연락이 끊기다,Let's not lose touch again.,Let's not lose touch again.,high,collocation,meaning,"{""farewell""}"
136,greeting,2,B1,keep it short,I'll ___ today.,오늘은 짧게 할게요.,짧게 하다,I'll keep it short today.,I'll keep it short today.,mid,collocation,usage,"{""small talk""}"
137,greeting,2,B1,grab a coffee,Let's ___ and catch up.,커피 한잔하면서 얘기해요.,커피 한잔하다,Let's grab a coffee and catch up.,Let's grab a coffee and catch up.,high,collocation,usage,"{""social""}"
138,greeting,2,B1,good to be back,It feels ___.,돌아오니 기분이 좋네요.,돌아와서 좋은,It feels good to be back.,It feels good to be back.,mid,sentence_frame,usage,"{""greeting""}"
139,greeting,2,B1,Take care,___ and see you soon.,몸조심하고 곧 봐요.,"잘 지내요, 몸조심해요",Take care and see you soon.,Take care and see you soon.,high,collocation,usage,"{""farewell""}"
140,greeting,2,B1,chatted for a while,We stood and ___.,우리는 서서 한참 수다를 떨었어요.,한참 이야기를 나누다,We stood and chatted for a while.,We stood and chatted for a while.,mid,collocation,usage,"{""small talk""}"
141,greeting,3,B2-C1,break the ice,He told a joke to ___ at the meeting.,그는 회의에서 어색함을 깨려고 농담을 했어요.,어색함을 깨다,He told a joke to break the ice at the meeting.,He told a joke to break the ice at the meeting.,high,idiom,meaning,"{""social"",""greeting""}"
